epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.1224,2.04986,4.25296,1.30243,0.00417,0.9375,0.00567,0.00235,1.35039,3.81132,0.99901,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
2,49.822,2.06015,4.23701,1.31474,0.00444,1,0.00846,0.00321,1.31357,3.80475,1.004,0.0010854,0.0003618,0.0010854,0.0003618,0.0010854,0.0003618,0.0010854,0.0003618
3,71.0797,1.8496,4.14012,1.1918,0.00444,1,0.01018,0.00481,1.30599,3.76924,0.98091,0.0008364,0.0002788,0.0008364,0.0002788,0.0008364,0.0002788,0.0008364,0.0002788
